id,label,domain,taxonomy_id,language,country,channel,text,split
NVJI-0011507,scam,job,J03,ur,AE,chat_group,گھر​ سے​ کام. منفی بیلنس. ابھی رقم بھیجیں 2500. Ref: NV-9DEEFE9977,train
NVJI-0050771,scam,job,J03,ms,BN,social_media_dm,"[unknown_sender] kerja​ dari​ rumah. baki negatif. hantar wang kepada saya 2500.
[recipient] Sahkan melalui saluran rasmi organisasi.
[unknown_sender] notis terakhir. tambah nilai untuk pengeluaran.
[recipient] Tiada yuran, deposit, kata laluan, OTP atau pindahan wang diperlukan.
[unknown_sender] buat bayaran 2500. https://case-54.invalid/nv-82dbc84602 Ref: NV-82DBC84602",train
NVJI-0008819,scam,job,J03,ms,BN,chat_group,kerja​ dari​ rumah. baki negatif. hantar wang kepada saya 2500. Ref: NV-5EE45D3CEE,train
NVJI-0050195,scam,job,J03,th,TH,whatsapp,"[unknown_sender] ทำงานจากที่บ้าน.​ ยอดคงเหลือติดลบ.​ โอนเงินตอนนี้ 2500.
[recipient] ตรวจสอบผ่านช่องทางทางการขององค์กร
[unknown_sender] คำเตือนครั้งสุดท้าย. เติมเงินเพื่อถอนรายได้.
[recipient] ไม่ต้องชำระค่าธรรมเนียม เงินมัดจำ รหัสผ่าน OTP หรือโอนเงิน
[unknown_sender] ชำระเงิน 2500. https://case-60.invalid/nv-3711ec85f4 Ref: NV-3711EC85F4",train
NVJI-0002979,scam,job,J03,ko,KR,chat_group,고수익 아르바이트. 출금하려면 충전. 결제하세요 99. Ref: NV-8916AE69F0,train
NVJI-0008707,scam,job,J03,id,SG,social_media_dm,pekerjaan paruh waktu. isi saldo untuk membuka tugas. lakukan pembayaran 500. Ref: NV-64E715A494,train
NVJI-0048947,scam,job,J03,ms,BN,job_board,"[unknown_sender] kerja​ dari​ rumah. baki negatif. pindahkan wang sekarang 2500.
[recipient] Sahkan melalui saluran rasmi organisasi.
[unknown_sender] notis terakhir. tambah nilai untuk pengeluaran.
[recipient] Tiada yuran, deposit, kata laluan, OTP atau pindahan wang diperlukan.
[unknown_sender] buat bayaran 2500. https://case-73.invalid/nv-714c941e19 Ref: NV-714C941E19",train
NVJI-0001187,scam,job,J03,de,CH,email,arbeiten​ sie​ von zu hause. negativer kontostand. überweisen sie das geld sofort 2500. Ref: NV-9A349F3C9F,train
NVJI-0051699,scam,job,J03,ru,KZ,chat_group,"[unknown_sender] простые задания за комиссию. пополните счет для вывода. произведите оплату 99.
[recipient] Проверьте информацию через официальный канал организации.
[unknown_sender] в течение часа. отрицательный баланс.
[recipient] Не требуются комиссия, депозит, пароль, OTP или перевод денег.
[unknown_sender] отправьте мне деньги 99. https://case-12.invalid/nv-d0eb5f543f Ref: NV-D0EB5F543F",train
NVJI-0008531,scam,job,J03,ru,KZ,whatsapp,подработка.​ отрицательный​ баланс. отправьте мне деньги 2500. Ref: NV-153A6184C3,validation
NVJI-0007780,scam,job,J04,de,AT,email,letzte warnung — teilzeitjob. risikofrei. https://job-j04-19.invalid/nv-12c7156628. Ref: NV-12C7156628,train
NVJI-0003956,scam,job,J04,ta,SG,telegram,இறுதி அறிவிப்பு — வீட்டிலிருந்து வேலை. உத்தரவாத லாபம். https://job-j04-75.invalid/nv-dbdd56c937. Ref: NV-DBDD56C937,train
NVJI-0003684,scam,job,J04,vi,VN,email,hành​ động​ ngay lập tức — nhiệm vụ đơn giản nhận hoa hồng. lợi nhuận hàng ngày. https://job-j04-94.invalid/nv-0b449d4c2b. Ref: NV-0B449D4C2B,train
NVJI-0010020,scam,job,J04,pt,BR,whatsapp,aja​ imediatamente​ — tarefas simples com comissão. retorno diário. https://job-j04-28.invalid/nv-4b802a0bd1. Ref: NV-4B802A0BD1,validation
NVJI-0004164,scam,job,J04,ms,SG,telegram,notis​ terakhir​ — tugas mudah dapat komisen. keuntungan harian. https://job-j04-89.invalid/nv-aa1232ccdb. Ref: NV-AA1232CCDB,train
NVJI-0003860,scam,job,J04,ms,BN,job_board,dalam masa satu jam — kerja dari rumah. pulangan dijamin. https://job-j04-76.invalid/nv-48a0f3d5f6. Ref: NV-48A0F3D5F6,train
NVJI-0051844,scam,job,J04,ur,IN,job_board,"[unknown_sender] فوری کارروائی کریں — پارٹ ٹائم نوکری. بغیر خطرہ. https://job-j04-60.invalid/nv-fea70018af.
[recipient] ادارے کے سرکاری ذریعے سے تصدیق کریں۔
[unknown_sender] فوری کارروائی کریں. یقینی منافع.
[recipient] کسی فیس، جمع، پاس ورڈ، او ٹی پی یا رقم کی منتقلی کی ضرورت نہیں ہے۔
[unknown_sender] ابھی رقم بھیجیں 120. https://case-60.invalid/nv-fea70018af Ref: NV-FEA70018AF",train
NVJI-0049972,scam,job,J04,zh,HK,social_media_dm,"[unknown_sender] 立即处理 — 兼职工作. 稳赚不赔. https://job-j04-31.invalid/nv-786fda2425.
[recipient] 请通过机构的官方渠道独立核实。
[unknown_sender] 立即处理. 保证收益.
[recipient] 无需支付费用、押金或转账，也不要提供密码或验证码。
[unknown_sender] 立即转账 120. https://case-31.invalid/nv-786fda2425 Ref: NV-786FDA2425",train
NVJI-0051252,scam,job,J04,de,DE,social_media_dm,"[unknown_sender] handeln​ sie​ sofort — einfache aufgaben gegen provision. tägliche rendite. https://job-j04-50.invalid/nv-018caf08f5.
[recipient] Prüfen Sie dies über den offiziellen Kanal der Organisation.
[unknown_sender] innerhalb einer stunde. tägliche rendite.
[recipient] Es sind keine Gebühr, Kaution, Passwort, OTP oder Geldüberweisung erforderlich.
[unknown_sender] schicken sie mir geld 5000. https://case-50.invalid/nv-018caf08f5 Ref: NV-018CAF08F5",test
NVJI-0003652,scam,job,J04,ta,SG,chat_group,ஒரு மணி நேரத்திற்குள் — பகுதி நேர வேலை. ஆபத்து இல்லாத வருமானம். https://job-j04-62.invalid/nv-238ed6a652. Ref: NV-238ED6A652,train
NVJI-0048805,scam,job,J05,ar,SA,sms,"[unknown_sender] تحذير أخير. وظيفة بدوام جزئي. رسوم المعالجة. قم بالدفع 49. https：//job-j05-28.invalid/nv-c71f5069c1 Ref： NV-C71F5069C1
[recipient] تحقق بشكل مستقل عبر القناة الرسمية للمؤسسة.
[unknown_sender] تصرف فوراً. رسوم المعالجة.
[recipient] لا يلزم دفع رسوم أو وديعة أو تقديم كلمة مرور أو رمز تحقق أو تحويل أموال.
[unknown_sender] حوّل المال الآن 49. https://case-28.invalid/nv-c71f5069c1 Ref: NV-C71F5069C1",train
NVJI-0001285,scam,job,J05,ur,IN,whatsapp,ایک گھنٹے کے اندر. پارٹ ٹائم نوکری. پروسیسنگ فیس. ادائیگی کریں 49. https：//job-j05-23.invalid/nv-fadbe23d36 Ref： NV-FADBE23D36,train
NVJI-0006421,scam,job,J05,tl,SG,job_board,huling babala. part time na trabaho. processing fee. magpadala ng pera ngayon 49. https：//job-j05-18.invalid/nv-0826321917 Ref： NV-0826321917,train
NVJI-0006773,scam,job,J05,de,CH,email,letzte warnung. arbeiten sie von zu hause. freigabegebühr. leisten sie die zahlung 250. hxxps://job-j05-79[.]invalid/nv-c895be5bda Ref: NV-C895BE5BDA,train
NVJI-0006933,scam,job,J05,vi,VN,whatsapp,hành động ngay lập tức... nhiệm vụ đơn giản nhận hoa hồng. tiền đặt cọc được hoàn lại. chuyển tiền ngay 1000. https://job-j05-45.invalid/nv-8218c6b351 Ref: NV-8218C6B351,train
NVJI-0004645,scam,job,J05,de,AT,whatsapp,handeln sie sofort. teilzeitjob. bearbeitungsgebühr. leisten sie die zahlung 49. https：//job-j05-85.invalid/nv-2634455842 Ref： NV-2634455842,train
NVJI-0010229,scam,job,J05,pt,PT,sms,aviso final. trabalhe em casa. taxa de liberação. envie dinheiro para mim 250. hxxps://job-j05-43[.]invalid/nv-1729cd9ec3 Ref: NV-1729CD9EC3,train
NVJI-0004693,scam,job,J05,ru,KZ,email,последнее предупреждение. работа на дому. комиссия за обработку. отправьте мне деньги 49. https：//job-j05-36.invalid/nv-8f837ca529 Ref： NV-8F837CA529,train
NVJI-0010485,scam,job,J05,th,TH,telegram,ภายในหนึ่งชั่วโมง... งานง่ายได้ค่าคอมมิชชั่น. เงินมัดจำคืนได้. ส่งเงินให้ฉัน 1000. https://job-j05-8.invalid/nv-29155174ae Ref: NV-29155174AE,test
NVJI-0003829,scam,job,J05,hi,SG,telegram,अंतिम चेतावनी. पार्ट टाइम नौकरी. प्रोसेसिंग फीस. अभी पैसे भेजें 49. https：//job-j05-45.invalid/nv-caa780d37b Ref： NV-CAA780D37B,train
NVJI-0002070,scam,job,J06,tl,PH,social_media_dm,simpleng task may komisyon. release fee; sa loob ng isang oras. hxxps://job-j06-32[.]invalid/nv-466ec73a79 Ref: NV-466EC73A79,train
NVJI-0008774,scam,job,J06,ko,KR,job_board,간단한 작업으로 수수료. 처리 수수료; 한 시간 이내. https：//job-j06-43.invalid/nv-7cae56697d Ref： NV-7CAE56697D,train
NVJI-0005382,scam,job,J06,id,ID,telegram,tugas mudah dapat komisi. biaya pencairan; dalam satu jam. hxxps://job-j06-46[.]invalid/nv-4d01bfab5a Ref: NV-4D01BFAB5A,train
NVJI-0050246,scam,job,J06,hi,AE,social_media_dm,"[unknown_sender] घर से काम. प्रोसेसिंग फीस; अंतिम चेतावनी. https：//job-j06-14.invalid/nv-4280de624c Ref： NV-4280DE624C
[recipient] संगठन के आधिकारिक माध्यम से स्वतंत्र पुष्टि करें।
[unknown_sender] अंतिम चेतावनी. वापसी योग्य जमा.
[recipient] कोई शुल्क, जमा, पासवर्ड, ओटीपी या धन हस्तांतरण आवश्यक नहीं है।
[unknown_sender] भुगतान करें 75. https://case-14.invalid/nv-4280de624c Ref: NV-4280DE624C",train
NVJI-0051894,scam,job,J06,id,ID,whatsapp,"[unknown_sender] tugas mudah dapat komisi. biaya pencairan; pemberitahuan terakhir. hxxps://job-j06-13[.]invalid/nv-64ef2761f4
[recipient] Verifikasi melalui saluran resmi organisasi.
[unknown_sender] dalam satu jam. biaya pencairan.
[recipient] Tidak diperlukan biaya, deposit, kata sandi, OTP, atau transfer uang.
[unknown_sender] kirim uang kepada saya 399. https://case-13.invalid/nv-64ef2761f4 Ref: NV-64EF2761F4",train
NVJI-0009878,scam,job,J06,vi,VN,telegram,làm việc tại nhà. phí xử lý; cảnh báo cuối cùng. https：//job-j06-80.invalid/nv-a85c8adec8 Ref： NV-A85C8ADEC8,train
NVJI-0002310,scam,job,J06,bn,BD,sms,সহজ কাজে কমিশন. রিলিজ ফি; শেষ সতর্কতা. hxxps://job-j06-78[.]invalid/nv-e4e416b816 Ref: NV-E4E416B816,train
NVJI-0003734,scam,job,J06,hi,AE,job_board,घर से काम. प्रोसेसिंग फीस; एक घंटे के भीतर. https：//job-j06-47.invalid/nv-0c31bd1108 Ref： NV-0C31BD1108,train
NVJI-0050710,scam,job,J06,tl,PH,job_board,"[unknown_sender] part time na trabaho... refundable deposit; kumilos agad. https://job-j06-90.invalid/nv-501008ac59
[recipient] Mag-verify sa opisyal na channel ng organisasyon.
[unknown_sender] kumilos agad. processing fee.
[recipient] Walang bayad, deposito, password, OTP, o pagpapadala ng pera na kailangan.
[unknown_sender] magpadala ng pera ngayon 1500. https://case-90.invalid/nv-501008ac59 Ref: NV-501008AC59",validation
NVJI-0003782,scam,job,J06,en,IN,sms,Example Meridian Talent | work from home. mandatory training certificate must be purchased from us. processing fee; act immediately. https：//job-j06-95.invalid/nv-e66c084e76 Ref： NV-E66C084E76,train
NVJI-0003975,scam,job,J07,ta,MY,telegram,எளிய பணிக்கு கமிஷன். திரும்பப்பெறக்கூடிய வைப்பு. எனக்கு பணம் அனுப்புங்கள் 99. Ref： NV-72B4154B47,train
NVJI-0007399,scam,job,J07,fr,CH,telegram,emploi à temps partiel. frais de traitement. transférez l'argent maintenant 500. Ref: NV-EE84EA4F75,test
NVJI-0010103,scam,job,J07,ja,JP,sms,簡単な作業で報酬... 解除手数料. 支払いをしてください 2500. Ref: NV-E95E3B1E68,test
NVJI-0007287,scam,job,J07,hi,IN,sms,आसान काम पर कमीशन. वापसी योग्य जमा. मेरे खाते में पैसे भेजें 99. Ref： NV-1C0B931930,train
NVJI-0048503,scam,job,J07,ko,KR,social_media_dm,"[unknown_sender] 간단한 작업으로 수수료... 해제 수수료. 결제하세요 2500.
[recipient] 기관의 공식 채널을 통해 독립적으로 확인하세요.
[unknown_sender] 최종 경고. 환불 가능한 보증금.
[recipient] 수수료, 보증금, 비밀번호, OTP 또는 송금이 필요하지 않습니다.
[unknown_sender] 결제하세요 2500. https://case-17.invalid/nv-bdd9dca4b4 Ref: NV-BDD9DCA4B4",train
NVJI-0048343,scam,job,J07,pt,PT,sms,"[unknown_sender] trabalho de meio período. taxa de processamento. envie dinheiro para mim 500.
[recipient] Verifique pelo canal oficial da organização.
[unknown_sender] aja imediatamente. taxa de processamento.
[recipient] Nenhuma taxa, depósito, senha, OTP ou transferência de dinheiro é necessária.
[unknown_sender] transfira o dinheiro agora 500. https://case-51.invalid/nv-e347422954 Ref: NV-E347422954",train
NVJI-0051943,scam,job,J07,th,TH,email,"[unknown_sender] งานพาร์ทไทม์. ค่าดำเนินการ. ส่งเงินให้ฉัน 500.
[recipient] ตรวจสอบผ่านช่องทางทางการขององค์กร
[unknown_sender] ดำเนินการทันที. ค่าดำเนินการ.
[recipient] ไม่ต้องชำระค่าธรรมเนียม เงินมัดจำ รหัสผ่าน OTP หรือโอนเงิน
[unknown_sender] โอนเงินตอนนี้ 500. https://case-62.invalid/nv-f950ec7ad2 Ref: NV-F950EC7AD2",train
NVJI-0011543,scam,job,J07,hi,AE,social_media_dm,घर से काम... रिलीज शुल्क. भुगतान करें 2500. Ref: NV-8733F90C82,validation
NVJI-0048727,scam,job,J07,bn,IN,telegram,"[unknown_sender] খণ্ডকালীন চাকরি. প্রসেসিং ফি. পেমেন্ট করুন 500.
[recipient] প্রতিষ্ঠানের সরকারি চ্যানেলে যাচাই করুন।
[unknown_sender] অবিলম্বে ব্যবস্থা নিন. প্রসেসিং ফি.
[recipient] কোনো ফি, জমা, পাসওয়ার্ড, ওটিপি বা টাকা পাঠানো প্রয়োজন নেই।
[unknown_sender] এখনই টাকা পাঠান 500. https://case-47.invalid/nv-4677b00a92 Ref: NV-4677B00A92",train
NVJI-0008023,scam,job,J07,id,SG,sms,pekerjaan paruh waktu. biaya pemrosesan. kirim uang kepada saya 500. Ref: NV-3B310A0CCD,train
NVJI-0009064,scam,job,J08,en,SG,social_media_dm,act immediately — part-time job. Example Bluehaven Recruitment says： deposit the company cheque and return the excess payment. make the payment. Use https：//job-j08-42.invalid/nv-2eee0556da. Ref： NV-2EEE0556DA,train
NVJI-0004440,scam,job,J08,ar,AE,email,تصرف فوراً !!! مهام سهلة مقابل عمولة... أرسل لي المال. https://job-j08-74.invalid/nv-9fec02ffa7. Ref: NV-9FEC02FFA7,train
NVJI-0011736,scam,job,J08,ar,AE,chat_group,خلال ساعة !!! مهام سهلة مقابل عمولة... أرسل لي المال. https://job-j08-95.invalid/nv-7e6ccc6acb. Ref: NV-7E6CCC6ACB,train
NVJI-0051720,scam,job,J08,zh,SG,chat_group,"[unknown_sender] 立即处理 !!! 简单任务赚佣金... 支付这笔款项. https://job-j08-33.invalid/nv-d3445b3fd1.
[recipient] 请通过机构的官方渠道独立核实。
[unknown_sender] 最后通知. 支付这笔款项.
[recipient] 无需支付费用、押金或转账，也不要提供密码或验证码。
[unknown_sender] 支付这笔款项 5000. https://case-33.invalid/nv-d3445b3fd1 Ref: NV-D3445B3FD1",train
NVJI-0006232,scam,job,J08,ru,RU,job_board,последнее предупреждение — работа на дому. произведите оплату. https：//job-j08-23.invalid/nv-2b96174d06. Ref： NV-2B96174D06,train
NVJI-0007144,scam,job,J08,ru,RU,whatsapp,в течение часа — работа на дому. произведите оплату. https：//job-j08-62.invalid/nv-add76471d0. Ref： NV-ADD76471D0,train
NVJI-0002424,scam,job,J08,bn,BD,email,অবিলম্বে ব্যবস্থা নিন !!! সহজ কাজে কমিশন... আমাকে টাকা পাঠান. https://job-j08-95.invalid/nv-e7b6a6b256. Ref: NV-E7B6A6B256,train
NVJI-0000536,scam,job,J08,ta,SG,email,இறுதி அறிவிப்பு — வீட்டிலிருந்து வேலை. உடனே பணம் அனுப்பவும். hxxps://job-j08-50[.]invalid/nv-399d2f3984. Ref: NV-399D2F3984,train
NVJI-0048632,scam,job,J08,bn,BD,job_board,"[unknown_sender] অবিলম্বে ব্যবস্থা নিন — বাড়ি থেকে কাজ. এখনই টাকা পাঠান. hxxps://job-j08-49[.]invalid/nv-33fbe31041.
[recipient] প্রতিষ্ঠানের সরকারি চ্যানেলে যাচাই করুন।
[unknown_sender] শেষ সতর্কতা. পেমেন্ট করুন.
[recipient] কোনো ফি, জমা, পাসওয়ার্ড, ওটিপি বা টাকা পাঠানো প্রয়োজন নেই।
[unknown_sender] পেমেন্ট করুন 750. https://case-49.invalid/nv-33fbe31041 Ref: NV-33FBE31041",test
NVJI-0001976,scam,job,J08,ru,RU,sms,последнее предупреждение — подработка. переведите деньги сейчас. hxxps://job-j08-35[.]invalid/nv-da56c24fae. Ref: NV-DA56C24FAE,train
NVJI-0050809,scam,job,J09,ms,MY,email,"[unknown_sender] bertindak segera. kerja sambilan. penghantaran bungkusan gagal. pindahkan wang sekarang 49. https://job-j09-92.invalid/nv-cd6ade5234
[recipient] Sahkan melalui saluran rasmi organisasi.
[unknown_sender] bertindak segera. penghantaran bungkusan gagal.
[recipient] Tiada yuran, deposit, kata laluan, OTP atau pindahan wang diperlukan.
[unknown_sender] pindahkan wang sekarang 49. https://case-92.invalid/nv-cd6ade5234 Ref: NV-CD6ADE5234",train
NVJI-0051993,scam,job,J09,de,DE,chat_group,"[unknown_sender] letzte​ warnung.​ einfache aufgaben gegen provision. lieferadresse unvollständig. überweisen sie das geld sofort 1000. https://job-j09-15.invalid/nv-6f2437a4b9
[recipient] Prüfen Sie dies über den offiziellen Kanal der Organisation.
[unknown_sender] innerhalb einer stunde. zahlen sie die erneute zustellung.
[recipient] Es sind keine Gebühr, Kaution, Passwort, OTP oder Geldüberweisung erforderlich.
[unknown_sender] schicken sie mir geld 1000. https://case-15.invalid/nv-6f2437a4b9 Ref: NV-6F2437A4B9",train
NVJI-0005817,scam,job,J09,ms,SG,sms,bertindak​ segera.​ tugas mudah dapat komisen. alamat penghantaran tidak lengkap. hantar wang kepada saya 1000. https://job-j09-93.invalid/nv-61bc8ff874 Ref: NV-61BC8FF874,train
NVJI-0009129,scam,job,J09,de,DE,job_board,handeln​ sie​ sofort. einfache aufgaben gegen provision. lieferadresse unvollständig. leisten sie die zahlung 1000. https://job-j09-10.invalid/nv-f4f9ed5369 Ref: NV-F4F9ED5369,validation
NVJI-0006905,scam,job,J09,fr,CA,job_board,agissez immédiatement. travaillez à domicile. payez les frais de relivraison. transférez l'argent maintenant 250. https://job-j09-17.invalid/nv-76e12d4b8f Ref: NV-76E12D4B8F,test
NVJI-0001785,scam,job,J09,tl,SG,sms,kumilos​ agad.​ simpleng task may komisyon. kulang ang address. ipadala sa akin ang pera 1000. https://job-j09-38.invalid/nv-58e2dc3c62 Ref: NV-58E2DC3C62,train
NVJI-0049753,scam,job,J09,bn,IN,whatsapp,"[unknown_sender] এক ঘণ্টার মধ্যে. খণ্ডকালীন চাকরি. পার্সেল ডেলিভারি ব্যর্থ. আমাকে টাকা পাঠান 49. https://job-j09-6.invalid/nv-8b60f7e5b9
[recipient] প্রতিষ্ঠানের সরকারি চ্যানেলে যাচাই করুন।
[unknown_sender] অবিলম্বে ব্যবস্থা নিন. পার্সেল ডেলিভারি ব্যর্থ.
[recipient] কোনো ফি, জমা, পাসওয়ার্ড, ওটিপি বা টাকা পাঠানো প্রয়োজন নেই।
[unknown_sender] এখনই টাকা পাঠান 49. https://case-6.invalid/nv-8b60f7e5b9 Ref: NV-8B60F7E5B9",test
NVJI-0002473,scam,job,J09,ms,MY,job_board,dalam masa satu jam. kerja sambilan. penghantaran bungkusan gagal. hantar wang kepada saya 49. https://job-j09-47.invalid/nv-5a797b9428 Ref: NV-5A797B9428,train
NVJI-0008185,scam,job,J09,ko,KR,job_board,최종 경고. 재택 부업. 택배 배송에 실패했습니다. 결제하세요 49. https://job-j09-36.invalid/nv-116d0bbc7e Ref: NV-116D0BBC7E,train
NVJI-0011849,scam,job,J09,ur,AE,whatsapp,آخری انتباہ. گھر سے کام. دوبارہ ترسیل کی فیس دیں. مجھے پیسے بھیجیں 250. https://job-j09-14.invalid/nv-331c689d5c Ref: NV-331C689D5C,validation
NVJI-0050122,scam,job,J10,ru,RU,job_board,"[unknown_sender] работа​ на​ дому. произведите оплату; в течение часа. https://job-j10-84.invalid/nv-f8e85d5ae5
[recipient] Проверьте информацию через официальный канал организации.
[unknown_sender] действуйте немедленно. переведите деньги сейчас.
[recipient] Не требуются комиссия, депозит, пароль, OTP или перевод денег.
[unknown_sender] переведите деньги сейчас 1500. https://case-84.invalid/nv-f8e85d5ae5 Ref: NV-F8E85D5AE5",train
NVJI-0048682,scam,job,J10,ta,LK,whatsapp,"[unknown_sender] பகுதி​ நேர​ வேலை. பணம் செலுத்தவும்; ஒரு மணி நேரத்திற்குள். https://job-j10-2.invalid/nv-bd7ccfdb7c
[recipient] நிறுவனத்தின் அதிகாரப்பூர்வ வழியில் சரிபார்க்கவும்.
[unknown_sender] உடனடியாக செயல்படவும். உடனே பணம் அனுப்பவும்.
[recipient] கட்டணம், வைப்பு, கடவுச்சொல், OTP அல்லது பணப் பரிமாற்றம் தேவையில்லை.
[unknown_sender] உடனே பணம் அனுப்பவும் 1500. https://case-2.invalid/nv-bd7ccfdb7c Ref: NV-BD7CCFDB7C",test
NVJI-0001402,scam,job,J10,ko,KR,job_board,재택​ 부업.​ 결제하세요; 한 시간 이내. https://job-j10-43.invalid/nv-d9aad52a40 Ref: NV-D9AAD52A40,train
